name,url,category,source,decisionMaker,notes,email,contactFormUrl,instagram,pageTitle,h1Text,metaDescription,heroText,accessibility,performance,bestPractices,seo,leadScore,issues,auditDate,emailSubject,emailDraft
Style Magazines,https://stylemagazines.com.au,media,excel-leads.csv,,,kiri@stylemedia.com.au,https://stylemagazines.com.au/,https://www.instagram.com/stylemagazines/,"Style Magazines | Fashion, Culture & Lifestyle - Style Magazines",,"Style Magazine curates the best in fashion, culture, beauty, food, and lifestyle, delivering inspiring stories, guides, and interviews that celebrate creativity and community.",,84,39,54,85,35,slow loading (39/100 performance); technical issues (54/100 best practices),2026-03-12,Quick thought on Style Magazines's website,"Hi there,\n\nI came across Style Magazines while browsing media — Style Magazine curates the best in fashion, culture, beauty, food, and lifestyle, delivering inspiring stories, guides, and interviews that celebrate creativity and community.\n\nI noticed your site has slow load times — can hurt both conversions and rankings. Just something I spotted — I look at a lot of sites.\n\nI run a small creative studio (kspf.au) that works with independent Melbourne businesses on branding and web. Would you be open to a quick chat? Happy to share a few thoughts, no pressure.\n\nCheers,\nRowan\nKSPF Studio\nkspf.au"
Dinosaur Designs,https://dinosaurdesigns.com.au,potential_lead,excel-leads.csv,,,customerservice@dinosaurdesigns.com.au,https://www.dinosaurdesigns.com.au/,https://www.instagram.com/dinosaur_designs/,Dinosaur Designs | Australian Design Studio,,"Dinosaur Designs Official Website. An Australian studio globally recognised for their handmade resin and metal tablewares, homewares and jewellery. Discover online now.",Please select your shipping country.,81,37,54,92,34,slow loading (37/100 performance); technical issues (54/100 best practices),2026-03-12,Quick thought on Dinosaur Designs's website,"Hi there,\n\nI came across Dinosaur Designs while browsing Melbourne businesses — Dinosaur Designs Official Website.\n\nI noticed your site has slow load times — can hurt both conversions and rankings. Just something I spotted — I look at a lot of sites.\n\nI run a small creative studio (kspf.au) that works with independent Melbourne businesses on branding and web. Would you be open to a quick chat? Happy to share a few thoughts, no pressure.\n\nCheers,\nRowan\nKSPF Studio\nkspf.au"
Alpha60,https://www.alpha60.com.au,fashion,fashion-art-leads.csv,,,shop@alpha60.com.au,https://www.alpha60.com.au/,https://www.instagram.com/alpha60thelabel,ALPHA60 – Alpha60,,"Shop Alpha60 — a Melbourne-born, sibling-run fashion label blending art, film and design. Effortless, sculptural clothing made for every occasion.",Log in to check out faster.,79,34,61,92,34,accessibility issues (79/100); slow loading (34/100 performance); technical issues (61/100 best practices),2026-03-12,Quick thought on Alpha60's website,"Hi there,\n\nI came across Alpha60 while browsing fashion — Shop Alpha60 — a Melbourne-born, sibling-run fashion label blending art, film and design.\n\nI noticed your site has some accessibility gaps — things like contrast ratios and button sizing that affect usability. Just something I spotted — I look at a lot of sites.\n\nI run a small creative studio (kspf.au) that works with independent Melbourne businesses on branding and web. Would you be open to a quick chat? Happy to share a few thoughts, no pressure.\n\nCheers,\nRowan\nKSPF Studio\nkspf.au"
Ngali,https://ngali.com.au,fashion,fashion-art-leads.csv,,,,https://ngali.com.au/,https://www.instagram.com/ngali_australia/,Designer Dresses|Silk Scarves|First Nations' Design|Fashion – Ngali,Ngali,"At Ngali, we take stunning First Nations’ artwork beyond wall display and onto garments to walk the streets and show up in a myriad of places around the world. We strive to practice just-in-time manufacture and offer an alternative to fast fashion. Our collections are designed to move effortlessly beyond trend.","At Ngali, we take stunning First Nations’ artwork beyond wall display and onto garments to walk the streets and show up in a myriad of places around the world.",75,50,57,85,33,accessibility issues (75/100); technical issues (57/100 best practices),2026-03-12,Quick thought on Ngali's website,"Hi there,\n\nI came across Ngali while browsing fashion online and liked what I saw.\n\nI noticed your site has some accessibility gaps — things like contrast ratios and button sizing that affect usability. Just something I spotted — I look at a lot of sites.\n\nI run a small creative studio (kspf.au) that works with independent Melbourne businesses on branding and web. Would you be open to a quick chat? Happy to share a few thoughts, no pressure.\n\nCheers,\nRowan\nKSPF Studio\nkspf.au"
Kuwaii,https://kuwaii.com.au,fashion,fashion-art-leads.csv,,,contact@kuwaii.com.au,,https://www.instagram.com/kuwaii/,Kuwaii,Where Colour Deepens,,New Arrivals! Explore the Latest Styles | Free Shipping on All Aus Orders Over $200,81,45,61,85,32,slow loading (45/100 performance); technical issues (61/100 best practices),2026-03-12,Quick thought on Kuwaii's website,"Hi there,\n\nI came across Kuwaii and noticed the line ""Where Colour Deepens"" — really like the direction.\n\nI noticed your site has slow load times — can hurt both conversions and rankings. Just something I spotted — I look at a lot of sites.\n\nI run a small creative studio (kspf.au) that works with independent Melbourne businesses on branding and web. Would you be open to a quick chat? Happy to share a few thoughts, no pressure.\n\nCheers,\nRowan\nKSPF Studio\nkspf.au"
Boteh,https://boteh.com.au,potential_lead,excel-leads.csv,,,,https://boteh.com.au/,https://www.instagram.com/boteh__/,BOTEH • Resort & Swim,,"Boteh is a nostalgic range of resort wear & swim that celebrates traditional techniques, fluid silhouettes and effervescent colour. A mosaic of artisan prints, wearable design & thoughtful production, Boteh ingrains every piece with a feeling of elevated ease for women to love, roam & live...","Our  most loved pieces are now back in stock, don't miss out ~ re-cut in limited numbers..Shop Now",82,52,57,92,29,technical issues (57/100 best practices),2026-03-12,Quick thought on Boteh's website,"Hi there,\n\nI came across Boteh while browsing Melbourne businesses online and liked what I saw.\n\nI noticed your site has a few technical flags that modern browsers pick up — usually straightforward to fix. Just something I spotted — I look at a lot of sites.\n\nI run a small creative studio (kspf.au) that works with independent Melbourne businesses on branding and web. Would you be open to a quick chat? Happy to share a few thoughts, no pressure.\n\nCheers,\nRowan\nKSPF Studio\nkspf.au"
En Gold,https://engold.com.au,potential_lead,excel-leads.csv,,,hello@engold.com.au,https://engold.com.au/,https://www.instagram.com/en._gold/,En Gold - Contemporary Furniture & Homewares – en gold,,"Elevate your home with En Gold's contemporary furniture, homewares, rugs and plinths that can be cherished for a lifetime. Timeless designer pieces made of Fossil Stone, Timber & Woven, handcrafted by our artisans with circular design principles in mind. White Glove delivery Australia-wide.",Join us in supporting Filipino families to rebuild through Red Cross | Donate Now,98,46,57,92,27,slow loading (46/100 performance); technical issues (57/100 best practices),2026-03-12,Quick thought on En Gold's website,"Hi there,\n\nI came across En Gold while browsing Melbourne businesses online and liked what I saw.\n\nI noticed your site has slow load times — can hurt both conversions and rankings. Just something I spotted — I look at a lot of sites.\n\nI run a small creative studio (kspf.au) that works with independent Melbourne businesses on branding and web. Would you be open to a quick chat? Happy to share a few thoughts, no pressure.\n\nCheers,\nRowan\nKSPF Studio\nkspf.au"
Vow Studio,https://vowstudio.com.au,fashion,fashion-art-leads.csv,,,,https://vowstudio.com.au/,https://www.instagram.com/vowstudio.melbourne/,Vow Studio | Australian Independent Fashion Designer,Vow Studio,"Free Shipping on orders over $150. Sign up to get $20 Off your first order. Welcome to Vow Studio! We are a young Melbourne designed emerging fashion label, who makes fashion a colourful and happy place!",Free Shipping AU & NZ over A$150,88,67,61,92,23,technical issues (61/100 best practices),2026-03-12,Quick thought on Vow Studio's website,"Hi there,\n\nI came across Vow Studio while browsing fashion online and liked what I saw.\n\nI noticed your site has a few technical flags that modern browsers pick up — usually straightforward to fix. Just something I spotted — I look at a lot of sites.\n\nI run a small creative studio (kspf.au) that works with independent Melbourne businesses on branding and web. Would you be open to a quick chat? Happy to share a few thoughts, no pressure.\n\nCheers,\nRowan\nKSPF Studio\nkspf.au"
Sister Studios,https://sisterstudios.com.au,fashion,fashion-art-leads.csv,,,,https://sisterstudios.com.au/,https://www.instagram.com/sister_studios,SISTER STUDIOS - Dreamy Womenswear Mindfully Made in Melbourne – SISTER studios,"Your cart -
        0 items","SISTER studios creates conscious minded fashion prioritising natural and vintage fabrics in small, locally made collections. Explore a thoughtful approach to the everyday wardrobe, mindfully made in Melbourne, Australia.",SUMMER SHIFT | STRIPE SHIRTING,93,55,61,100,23,technical issues (61/100 best practices),2026-03-12,Quick thought on Sister Studios's website,"Hi there,\n\nI came across Sister Studios and noticed the line ""Your cart -\n        0 items"" — really like the direction.\n\nI noticed your site has a few technical flags that modern browsers pick up — usually straightforward to fix. Just something I spotted — I look at a lot of sites.\n\nI run a small creative studio (kspf.au) that works with independent Melbourne businesses on branding and web. Would you be open to a quick chat? Happy to share a few thoughts, no pressure.\n\nCheers,\nRowan\nKSPF Studio\nkspf.au"
Caves Collect,https://cavescollect.com,fashion,fashion-art-leads.csv,,,,https://cavescollect.com/,https://www.instagram.com/caves_collect/,Caves Collect | Australian Made Classics.,CAVES COLLECT,"Crafting classics, honouring fine fabrics grown by nature. Worldwide shipping. Made in Australia.","plastic free clothes, grown by nature",96,61,61,100,21,technical issues (61/100 best practices),2026-03-12,Quick thought on Caves Collect's website,"Hi there,\n\nI came across Caves Collect and noticed the line ""CAVES COLLECT"" — really like the direction.\n\nI noticed your site has a few technical flags that modern browsers pick up — usually straightforward to fix. Just something I spotted — I look at a lot of sites.\n\nI run a small creative studio (kspf.au) that works with independent Melbourne businesses on branding and web. Would you be open to a quick chat? Happy to share a few thoughts, no pressure.\n\nCheers,\nRowan\nKSPF Studio\nkspf.au"
