ALT. COSMETICS — DECISION LOG,,,,,,,,
kspf.studio · Version 1.1 · March 2026 · Active,,,,,,,,
,,,,,,,,
#,AREA,DECISION,RATIONALE,AI suggestion (take lightly),STATUS,Ro's comments,DATE,OWNER
D01,Brand Name,"ALT. — all caps, full stop retained. Full stop is active punctuation, not decoration. Signals completion and deliberateness.","Abbreviated structure requires all-caps to hold presence at small scale. Full stop makes the name a statement, not a label.",Full stop must be retained in all lockups. Written confirmation from client still outstanding.,Rowan approved,,25 Feb,Both
D02,Brand Positioning,"Design-forward premium beauty. Between clinical and lifestyle — earns its place through restraint, finish, and intention. Not trying to be Aesop, The Ordinary, or Grande.",Clear white space in Australian lash serum market. No brand currently occupies design-led + genuine clinical credibility simultaneously.,All visual decisions must be tested against this positioning. Anything reading as pharmacy or mass lifestyle is out.,Open,"I feel like this language leans to conservative, boring... this brand still has an edge. it's cool!",25 Feb,Studio
D03,Typography — Primary,"Aktiv Grotesk Extended. All-caps. Medium-bold weight. Geometric construction IS the character — not applied decoration. Extended, not condensed.","Confirmed Mar 3. Fits brief: not neutral, not purely functional, chosen not defaulted to. Geometric construction is the point, not a compromise.",Must be licensed before delivery. May still evolve slightly — identity not due yet. Tracking not yet decided.,Rowan approved,,03 Mar,Studio
D04,Typography — Secondary,REJECTED. Mono / typewriter-adjacent secondary typeface will not be used. Rejected by Anh in the original strategy session.,Anh confirmed she does not want mono or typewriter styles. This is not a Mar 3 decision — it goes back to the strategy session.,Do not resurface this direction under any circumstances. It is a closed question.,Rowan approved,,25 Feb,Both
D05,Typographic Treatment,All-caps lockups throughout. Tracking not yet decided.,ALT. as an abbreviation requires all-caps to hold structure and presence.,"Consistent across all touchpoints — tube, guidelines, collateral. Tracking decision deferred to identity refinement.",Open,Haven't decided this yet,03 Mar,Studio
D06,Mark System,Two-element identity system: hard geometric wordmark (primary) + ornamental secondary mark. These two elements should not look like they came from the same place — the tension is intentional.,Contrast system inspired by atelier/silversmith tradition. Mark functions as a discovery element — found rather than announced.,Ornamental mark must hold integrity at small scale and when debossed/hot-stamped. Needs internal logic specific to this brand.,,,03 Mar,Studio
D07,Mark — Direction A,"Ancient / Carved / Archaeological: Raw, primitive, worn-into-stone quality. Egyptian scarab seals, ancient intaglio gems. Incised not raised.",One of three canonical directions being developed for client presentation. Surface feeling and register defines this direction.,Legibility vs. abstraction is an independent axis — this direction can produce readable ALT. letterforms or a dissolved abstract form.,Open,,06 Mar,Studio
D08,Mark — Direction B,"Victorian / Script / Medieval: Fine copperplate script letterforms, flowing not rigid. Mauclot monogram sheet is the primary reference.","Client preference for organic over structured engraving. Flowing, atelier-quality script register.",Legibility vs. abstraction is an independent axis. Victorian structured heritage route is secondary to the organic preference.,Open,,06 Mar,Studio
D09,Mark — Direction C,"Architectural / Art Deco: Formal oval cartouche. Letters A, L, T positioned at compass points inside a double-ring oval. SRA SRA is the primary reference.",SRA SRA mark = letters as separate positioned elements inside a structured architectural frame. NOT interlocked. Art deco lineage.,Clean double-ring oval preferred over beaded variant. Legibility vs. abstraction deferred to client presentation.,Open,,09 Mar,Studio
D10,Mark Application,"Hot-stamping or debossing onto primary tube component. Typography on packaging is marked, not printed.",Letterform becomes a three-dimensional mark of quality — felt as much as seen. Industrial marker quality that signals authority.,Need visual research into what hot-stamping and debossing look like on chrome surfaces. Must confirm compatibility with supplier.,Open,,03 Mar,Studio
D11,Finish & Materiality,Reflective chrome is the confirmed primary packaging direction. This was never in question and is not an unresolved tension.,"Chrome/reflective finish communicates precision, structure, and industrial cool that subverts soft matte conventions of traditional beauty packaging.",Not a blocker. Not a decision to be made. The bottle is chrome.,Rowan approved,,25 Feb,Both
D12,Colour,"Monochrome or near-neutral palette.  Probably black, white, silver. Earth tones unlikely.",Anchored in material quality rather than colour expression. Colour should feel like it comes from the finish of the object.,No colour exploration done yet. Vibrant accent colour not ruled out. ,Open,I probably don't want earth tones..,25 Feb,Studio
D13,Sustainability,Acceptable for launch in current form. Long-term goal to transition to more sustainable packaging as brand scales. Avoid clear plastic where possible.,"Mecca has sustainability requirements — flagged as a future consideration, not a launch blocker.",Slim metal tins identified as potentially stronger secondary packaging alternative. Gap between clean brand positioning and plastic is a known internal tension.,Rowan approved,Anh doesn't like the tins they're ruled out for now,03 Mar,Both
D14,Tone of Voice,"Precise, assured, uncluttered. States, doesn't sell. No exclamation marks. No wellness clichés (ritual, glow, nourishing). Specificity over vagueness. Authority without warmth.",Voice must match visual identity — carries genuine authority without becoming cold or inaccessible.,Four guiding principles: State don't sell. Specific over vague. Authority without warmth. Omission as a signal.,,"I think what I've tried to push a lot is ALT. doesn't conform to rules. I think all of this language is extremely limitting. it's very prescriptive on rules and don'ts. ALT can be cheeky, it can be flirty if it wants to. Sure it has a consistent ""IFYKYK"" and doesn't need to overexplain, but it also  could change and be more fun depending on the season, or based on product launches. I don't want a rigid set of rules... it feels tired.... 
*** that's a good thing to add in the brand stuff actually, seasonality - (huge in beauty) how ALT incorporates and adapts to the seasons. ",25 Feb,Studio
